Name;Date of birth;Married;Phone;Salary
Tom;12.06.1997;1;+380982345167;1500
Anna;08.10.2000;0;+380977896424;1100
John;28.03.1998;0;+380975623891;2000
Maria;15.07.1995;1;+380931234567;1800
Peter;03.01.1999;0;+380991112233;1450
Olga;22.09.2001;0;+380661234567;1200
Max;11.11.1996;1;+380671234567;2100
Iryna;05.04.1994;1;+380501234567;2500
Sergiy;29.08.1993;1;+380931112244;1700
Oksana;17.02.1998;0;+380661112233;1300
Viktor;23.05.1992;1;+380731234567;3000
Natalia;07.12.1999;0;+380991223344;1400
Andriy;14.06.1996;0;+380671223344;1600
Yulia;30.03.2002;0;+380501223344;1100
Roman;02.10.1995;1;+380931334455;2800
Sofia;09.01.2001;0;+380661334455;1250
Denys;25.04.1994;1;+380991445566;1900
Tetiana;18.07.1997;0;+380671445566;1350
Mykola;12.11.1993;1;+380501445566;2200
Daria;27.08.1998;0;+380931556677;1500
